budget_per_side,dataset,draw,estimate_l2,estimate_sha256,far,instance_index,instance_position,method,model,normalized_vector_mse,phase,query_total,runtime_sec,scenario,seed,severity,squared_drift_error,target_l2,target_sha256,topk_overlap,vector_mse,clean_mask_sha256,shifted_mask_sha256
1920,adult,2,0.0,B5FDAB78D8947EACC864BFEECB4D2100780E5AFE1CD8EFAFB124887913AC49FA,0,10484,3,lime_paired_slime_budget,logreg,0.0,full,3840,0.08709739986807108,null,1,0.0,0.0,0.0,B5FDAB78D8947EACC864BFEECB4D2100780E5AFE1CD8EFAFB124887913AC49FA,1.0,0.0,,
-1,adult,2,0.01704298930197639,1D7D7928E9CAB5B0825CCBC369F061BEFAF39DC100183C12DED80B4DDF651086,0,10484,3,slime_independent,logreg,0.003121240224683111,full,3840,0.2733245000708848,null,1,0.0,8.436903573916357e-08,0.0,B5FDAB78D8947EACC864BFEECB4D2100780E5AFE1CD8EFAFB124887913AC49FA,0.4,2.074739173909155e-05,,
256,adult,3,0.04123026997849697,5CDC1F58DF4599B620603DD8949431DA40EEECF12578D4839D868D03F59BAB36,1,10484,3,glime_independent,logreg,0.018267032843975767,full,512,0.04550440004095435,null,1,0.0,2.8897795567030465e-06,0.0,B5FDAB78D8947EACC864BFEECB4D2100780E5AFE1CD8EFAFB124887913AC49FA,0.0,0.00012142394017855347,,
256,adult,3,0.031134422045575257,89DFD24441280FE03ADBABBCA62C15C6F7B0CFDF79056642A7E4777BCFA37019,1,10484,3,kernelshap_independent,logreg,0.010507597042920267,full,516,0.07500569988042116,null,1,0.0,9.396437576553396e-07,0.0,B5FDAB78D8947EACC864BFEECB4D2100780E5AFE1CD8EFAFB124887913AC49FA,0.2,6.923944543657163e-05,DBC2062A637483B9A7CB23B60F499CA84E5405A401D9A4D39543DA6F212B7B1B,15829D0C4670E8DB873F00180DC49BEB14D81B78F9AE50E0ACFFD9748B289018
256,adult,3,0.0,B5FDAB78D8947EACC864BFEECB4D2100780E5AFE1CD8EFAFB124887913AC49FA,0,10484,3,kernelshap_paired,logreg,0.0,full,516,0.07244580006226897,null,1,0.0,0.0,0.0,B5FDAB78D8947EACC864BFEECB4D2100780E5AFE1CD8EFAFB124887913AC49FA,1.0,0.0,AB8F4448FEAD3E3B210FEF051BB768AD163DD9254BB68F9A1DDD00D6A86F205A,AB8F4448FEAD3E3B210FEF051BB768AD163DD9254BB68F9A1DDD00D6A86F205A
256,adult,3,0.02820897362133513,57C6FC9F019AF0E7B6661B4C6D35D0B3415ED905ED5A0CE03D7B34F047E969D2,0,10484,3,lime_independent,logreg,0.008550868385714361,full,512,0.06117239990271628,null,1,0.0,6.33212003306647e-07,0.0,B5FDAB78D8947EACC864BFEECB4D2100780E5AFE1CD8EFAFB124887913AC49FA,0.4,5.683901376922723e-05,,
256,adult,3,0.0,B5FDAB78D8947EACC864BFEECB4D2100780E5AFE1CD8EFAFB124887913AC49FA,0,10484,3,lime_paired,logreg,0.0,full,512,0.057508999947458506,null,1,0.0,0.0,0.0,B5FDAB78D8947EACC864BFEECB4D2100780E5AFE1CD8EFAFB124887913AC49FA,1.0,0.0,,
256,adult,4,0.04720542392904573,FD71333F883E37725BF28170D3B646271AF83D587C874014B14FD23B6181C276,1,10484,3,glime_independent,logreg,0.023945254473565845,full,512,0.049354600021615624,null,1,0.0,4.965552851256055e-06,0.0,B5FDAB78D8947EACC864BFEECB4D2100780E5AFE1CD8EFAFB124887913AC49FA,0.4,0.00015916800345149455,,
256,adult,4,0.04174858080862554,59070FC4D144C6F5889088746CBC25BFE6C25A050C6877FB9B619741847AC479,1,10484,3,kernelshap_independent,logreg,0.018893187154485017,full,516,0.0870906999334693,null,1,0.0,3.03785378551275e-06,0.0,B5FDAB78D8947EACC864BFEECB4D2100780E5AFE1CD8EFAFB124887913AC49FA,0.0,0.00012449599996673834,4C1AB25B8E740535FEDFA7CBE3B53A035776159D1D653201F5611BFB169C85BD,47681A85D66E35374C559F342D1E3A35700CB92BDFEC831FE58306BAF831A42B
256,adult,4,0.0,B5FDAB78D8947EACC864BFEECB4D2100780E5AFE1CD8EFAFB124887913AC49FA,0,10484,3,kernelshap_paired,logreg,0.0,full,516,0.08017209987156093,null,1,0.0,0.0,0.0,B5FDAB78D8947EACC864BFEECB4D2100780E5AFE1CD8EFAFB124887913AC49FA,1.0,0.0,14A9B9FA93D74B4F5FB2BBB5E641D645C8A162C4AC428C04D54537F8A353E924,14A9B9FA93D74B4F5FB2BBB5E641D645C8A162C4AC428C04D54537F8A353E924
