dataset,model,window,seed,method,acc,ece,mean_conf,expl_time_s,n_window,n_explained,reference_window,window_hash,subsample_hash,dataset_fingerprint,cache_schema,seed_policy_version,lime_sampling_space,lime_pairing,pi_pairing,config_hash,source_hash,host,top3,top5,spearman,cosine,sign
electricity-temporal,hgb,1,3,pi,0.7783732660781841,0.1909614023420525,0.9626526665559052,0.2671929999996791,3172,100,1,f6eac31fd1aea22131cec3bf9228f334ceb3662c5ba8d8522386fe18a1e279a9,b46da9946cbf1b0780b65312c5195325b56ed6bfe881ae4604489dbaaa4bfc4e,a56ffef72cbeddf7307b7ee6b0c7688b74b8aa965fce826079937135eb0a99a1,temporal-v2-raw-space-lime,v2-raw-lime-cell-keyed,raw_mixed_feature,window_position_keyed_crn,fixed_seed_across_windows,2f0551386c3480bb7676746d2387490c7623e474170c111e7c0fa1238c421a97,401dcbb27ea88a966cfbca7cd8063507f41f826f89d3b05dacd3c216b5c5e53a,canayxps15,1.0,1.0,1.0,1.0,1.0
electricity-temporal,hgb,1,3,shap,0.7783732660781841,0.1909614023420525,0.9626526665559052,0.2407791999994515,3172,100,1,f6eac31fd1aea22131cec3bf9228f334ceb3662c5ba8d8522386fe18a1e279a9,b46da9946cbf1b0780b65312c5195325b56ed6bfe881ae4604489dbaaa4bfc4e,a56ffef72cbeddf7307b7ee6b0c7688b74b8aa965fce826079937135eb0a99a1,temporal-v2-raw-space-lime,v2-raw-lime-cell-keyed,raw_mixed_feature,window_position_keyed_crn,fixed_seed_across_windows,2f0551386c3480bb7676746d2387490c7623e474170c111e7c0fa1238c421a97,401dcbb27ea88a966cfbca7cd8063507f41f826f89d3b05dacd3c216b5c5e53a,canayxps15,1.0,1.0,1.0,1.0,1.0
electricity-temporal,hgb,1,4,lime,0.7783732660781841,0.1909614023420525,0.9626526665559052,0.7737266000003729,3172,30,1,f6eac31fd1aea22131cec3bf9228f334ceb3662c5ba8d8522386fe18a1e279a9,91995f966041ccc67366ce86c0a4fe4b2b89e9d68e288f541121d16836f9db12,a56ffef72cbeddf7307b7ee6b0c7688b74b8aa965fce826079937135eb0a99a1,temporal-v2-raw-space-lime,v2-raw-lime-cell-keyed,raw_mixed_feature,window_position_keyed_crn,fixed_seed_across_windows,2f0551386c3480bb7676746d2387490c7623e474170c111e7c0fa1238c421a97,401dcbb27ea88a966cfbca7cd8063507f41f826f89d3b05dacd3c216b5c5e53a,canayxps15,1.0,1.0,1.0,1.0000000000000002,1.0
electricity-temporal,hgb,1,4,pi,0.7783732660781841,0.1909614023420525,0.9626526665559052,0.222075900001073,3172,100,1,f6eac31fd1aea22131cec3bf9228f334ceb3662c5ba8d8522386fe18a1e279a9,91995f966041ccc67366ce86c0a4fe4b2b89e9d68e288f541121d16836f9db12,a56ffef72cbeddf7307b7ee6b0c7688b74b8aa965fce826079937135eb0a99a1,temporal-v2-raw-space-lime,v2-raw-lime-cell-keyed,raw_mixed_feature,window_position_keyed_crn,fixed_seed_across_windows,2f0551386c3480bb7676746d2387490c7623e474170c111e7c0fa1238c421a97,401dcbb27ea88a966cfbca7cd8063507f41f826f89d3b05dacd3c216b5c5e53a,canayxps15,1.0,1.0,1.0,1.0000000000000002,1.0
electricity-temporal,hgb,1,4,shap,0.7783732660781841,0.1909614023420525,0.9626526665559052,0.2797319000001153,3172,100,1,f6eac31fd1aea22131cec3bf9228f334ceb3662c5ba8d8522386fe18a1e279a9,91995f966041ccc67366ce86c0a4fe4b2b89e9d68e288f541121d16836f9db12,a56ffef72cbeddf7307b7ee6b0c7688b74b8aa965fce826079937135eb0a99a1,temporal-v2-raw-space-lime,v2-raw-lime-cell-keyed,raw_mixed_feature,window_position_keyed_crn,fixed_seed_across_windows,2f0551386c3480bb7676746d2387490c7623e474170c111e7c0fa1238c421a97,401dcbb27ea88a966cfbca7cd8063507f41f826f89d3b05dacd3c216b5c5e53a,canayxps15,1.0,1.0,1.0,1.0000000000000002,1.0
electricity-temporal,hgb,2,0,lime,0.7591424968474149,0.2316788523516515,0.978529134376276,1.018222999999125,3172,30,1,d97d42d885b082a7840829322571c102befa9c9bd60ffa4140a8727947c75420,06d02175a177d0d1e5f7d850132280193e52dd288f75a27709f3f013355d03c1,a56ffef72cbeddf7307b7ee6b0c7688b74b8aa965fce826079937135eb0a99a1,temporal-v2-raw-space-lime,v2-raw-lime-cell-keyed,raw_mixed_feature,window_position_keyed_crn,fixed_seed_across_windows,2f0551386c3480bb7676746d2387490c7623e474170c111e7c0fa1238c421a97,401dcbb27ea88a966cfbca7cd8063507f41f826f89d3b05dacd3c216b5c5e53a,canayxps15,1.0,1.0,0.9523809523809524,0.998753147916028,1.0
electricity-temporal,hgb,2,0,pi,0.7591424968474149,0.2316788523516515,0.978529134376276,0.2444015000000945,3172,100,1,d97d42d885b082a7840829322571c102befa9c9bd60ffa4140a8727947c75420,06d02175a177d0d1e5f7d850132280193e52dd288f75a27709f3f013355d03c1,a56ffef72cbeddf7307b7ee6b0c7688b74b8aa965fce826079937135eb0a99a1,temporal-v2-raw-space-lime,v2-raw-lime-cell-keyed,raw_mixed_feature,window_position_keyed_crn,fixed_seed_across_windows,2f0551386c3480bb7676746d2387490c7623e474170c111e7c0fa1238c421a97,401dcbb27ea88a966cfbca7cd8063507f41f826f89d3b05dacd3c216b5c5e53a,canayxps15,1.0,1.0,0.4324324324324324,0.9879817958540268,1.0
electricity-temporal,hgb,2,0,shap,0.7591424968474149,0.2316788523516515,0.978529134376276,0.4504139000000577,3172,100,1,d97d42d885b082a7840829322571c102befa9c9bd60ffa4140a8727947c75420,06d02175a177d0d1e5f7d850132280193e52dd288f75a27709f3f013355d03c1,a56ffef72cbeddf7307b7ee6b0c7688b74b8aa965fce826079937135eb0a99a1,temporal-v2-raw-space-lime,v2-raw-lime-cell-keyed,raw_mixed_feature,window_position_keyed_crn,fixed_seed_across_windows,2f0551386c3480bb7676746d2387490c7623e474170c111e7c0fa1238c421a97,401dcbb27ea88a966cfbca7cd8063507f41f826f89d3b05dacd3c216b5c5e53a,canayxps15,1.0,1.0,1.0,0.9932237073936172,1.0
electricity-temporal,hgb,2,1,lime,0.7591424968474149,0.2316788523516515,0.978529134376276,0.9108085000007122,3172,30,1,d97d42d885b082a7840829322571c102befa9c9bd60ffa4140a8727947c75420,759585a98cc608cb608fe3a29ce34e465215aff394e68cf005308b0adb8110e9,a56ffef72cbeddf7307b7ee6b0c7688b74b8aa965fce826079937135eb0a99a1,temporal-v2-raw-space-lime,v2-raw-lime-cell-keyed,raw_mixed_feature,window_position_keyed_crn,fixed_seed_across_windows,2f0551386c3480bb7676746d2387490c7623e474170c111e7c0fa1238c421a97,401dcbb27ea88a966cfbca7cd8063507f41f826f89d3b05dacd3c216b5c5e53a,canayxps15,1.0,1.0,0.9047619047619048,0.9995315320040687,1.0
electricity-temporal,hgb,2,1,pi,0.7591424968474149,0.2316788523516515,0.978529134376276,0.2426003000000491,3172,100,1,d97d42d885b082a7840829322571c102befa9c9bd60ffa4140a8727947c75420,759585a98cc608cb608fe3a29ce34e465215aff394e68cf005308b0adb8110e9,a56ffef72cbeddf7307b7ee6b0c7688b74b8aa965fce826079937135eb0a99a1,temporal-v2-raw-space-lime,v2-raw-lime-cell-keyed,raw_mixed_feature,window_position_keyed_crn,fixed_seed_across_windows,2f0551386c3480bb7676746d2387490c7623e474170c111e7c0fa1238c421a97,401dcbb27ea88a966cfbca7cd8063507f41f826f89d3b05dacd3c216b5c5e53a,canayxps15,1.0,1.0,-0.2432432432432432,0.9667542893174764,0.5
