candidate_indices_sha256,channel,crossfit_auc,crossfit_auprc,dataset,independent_mask_difference,label,model,paired_mask_identity,phase,query_total,reference_indices_sha256,replicate,representation_sha256,runtime_sec,scenario,score,seed,severity,severity_index,split,window_size,threshold,alarm
1D1BFAF6E63CB58B3B152428AB7D8D9EB91376718F0CA387D5BB8A142F9B637B,explanation_shift,0.76171875,0.70094664107822,adult,,1,hgb,,full,0,6E96EEC2EC1EBBAC61E0C4483FE34082023070226AF45260566AB4A8058630C7,0,F125E2ED386F1A200375D7591920699D0B257CAB22383EF2938E68AF32FDF464,0.8491833999287337,gradual,0.5234375,0,0.6,3,calibration,16,0.4765625,True
1D1BFAF6E63CB58B3B152428AB7D8D9EB91376718F0CA387D5BB8A142F9B637B,input,0.81640625,0.7938781159393582,adult,,1,hgb,,full,0,6E96EEC2EC1EBBAC61E0C4483FE34082023070226AF45260566AB4A8058630C7,0,3B7E6F5A36A91971799CA66115470A623DBF02F7F64F9F2CDFC0E572371917F6,0.8491789998952299,gradual,0.6328125,0,0.6,3,calibration,16,0.5859375,True
1D1BFAF6E63CB58B3B152428AB7D8D9EB91376718F0CA387D5BB8A142F9B637B,output,0.56640625,0.5458262121371308,adult,,1,hgb,,full,0,6E96EEC2EC1EBBAC61E0C4483FE34082023070226AF45260566AB4A8058630C7,0,091D7FDBDF2DE6E0E36AECA3103A7524FEA1C21895274E0018235CE17BB62C8B,0.8491821000352502,gradual,0.1328125,0,0.6,3,calibration,16,0.46875,False
1CDAA7FDF85A90103F5FA382F4A3A6CBCC522A17417AB98132945CF1C83954DE,explanation_independent,,,adult,True,1,hgb,True,full,4096,B41ADB01D3FACAB89F1B1B4B46CCCA0E389435037CBB2741DA273594FFA733EB,1,27949F9ABC339675E625BB965B2D76208809F54F6975E5A14F68D0D5BAACED42,0.7723028999753296,gradual,1.159208849940631,0,0.6,3,calibration,16,0.9527189849109015,True
1CDAA7FDF85A90103F5FA382F4A3A6CBCC522A17417AB98132945CF1C83954DE,explanation_paired,,,adult,True,1,hgb,True,full,4096,B41ADB01D3FACAB89F1B1B4B46CCCA0E389435037CBB2741DA273594FFA733EB,1,77E72CE60D4113F2C9081D0A403E98FE5FBC4BE478C75F71C0103006D1E45F53,0.7723055998794734,gradual,1.1597003394278333,0,0.6,3,calibration,16,0.9527189849109015,True
1CDAA7FDF85A90103F5FA382F4A3A6CBCC522A17417AB98132945CF1C83954DE,explanation_shift,0.83984375,0.806305833238399,adult,,1,hgb,,full,0,B41ADB01D3FACAB89F1B1B4B46CCCA0E389435037CBB2741DA273594FFA733EB,1,735A3DA8B110EA730DA41EDB77BF1BED4458FD5B02B457EC957B04C377BF02CF,0.8783601999748498,gradual,0.6796875,0,0.6,3,calibration,16,0.4765625,True
1CDAA7FDF85A90103F5FA382F4A3A6CBCC522A17417AB98132945CF1C83954DE,input,0.8125,0.7417710471503041,adult,,1,hgb,,full,0,B41ADB01D3FACAB89F1B1B4B46CCCA0E389435037CBB2741DA273594FFA733EB,1,B53F0997CAD8E68AA0BA281BF01B514AAF8D83461F8523033790F64107FA920B,0.878355799941346,gradual,0.625,0,0.6,3,calibration,16,0.5859375,True
1CDAA7FDF85A90103F5FA382F4A3A6CBCC522A17417AB98132945CF1C83954DE,output,0.7578125,0.7121796736337811,adult,,1,hgb,,full,0,B41ADB01D3FACAB89F1B1B4B46CCCA0E389435037CBB2741DA273594FFA733EB,1,B21E346F68038355D3B7FE4113E7A388715FDD5E2980C1F97CD873544D847D2E,0.8783588998485357,gradual,0.515625,0,0.6,3,calibration,16,0.46875,True
71D8A5EC3D3EFED5FA4760F1624EAA9105CFB8AE3B0FCA78FA5D6B2254F62F41,explanation_independent,,,adult,True,1,hgb,True,full,4096,ECCC735BEA3EEDDA6B709AD26D57359D0AC476882325A686EA27FF568D6C2FA3,0,E8EA604B2967730A03A65E5AD699002C50E1E755EA5BFF117DBD4955D9430402,0.8896369999274611,gradual,1.1968497146339687,0,1.0,5,calibration,16,0.9527189849109015,True
71D8A5EC3D3EFED5FA4760F1624EAA9105CFB8AE3B0FCA78FA5D6B2254F62F41,explanation_paired,,,adult,True,1,hgb,True,full,4096,ECCC735BEA3EEDDA6B709AD26D57359D0AC476882325A686EA27FF568D6C2FA3,0,B0E0E31947C3990A4023E58A1888D2CED7D8F1E84EA6F8B08870A0852C27150A,0.8896395999472588,gradual,1.2135988503950987,0,1.0,5,calibration,16,0.9527189849109015,True
71D8A5EC3D3EFED5FA4760F1624EAA9105CFB8AE3B0FCA78FA5D6B2254F62F41,explanation_shift,0.953125,0.9485540082337683,adult,,1,hgb,,full,0,ECCC735BEA3EEDDA6B709AD26D57359D0AC476882325A686EA27FF568D6C2FA3,0,C63DC1A50AC252543A726E5E981D10FD88C281739C55019E3F3B7E264F911782,1.019515800056979,gradual,0.90625,0,1.0,5,calibration,16,0.4765625,True
71D8A5EC3D3EFED5FA4760F1624EAA9105CFB8AE3B0FCA78FA5D6B2254F62F41,input,0.96484375,0.9666328044375645,adult,,1,hgb,,full,0,ECCC735BEA3EEDDA6B709AD26D57359D0AC476882325A686EA27FF568D6C2FA3,0,9939A6F3D1FB58B296156177526144C7BF53ABB3FC17B1FC5AB47E53055869B3,1.0195088998880237,gradual,0.9296875,0,1.0,5,calibration,16,0.5859375,True
71D8A5EC3D3EFED5FA4760F1624EAA9105CFB8AE3B0FCA78FA5D6B2254F62F41,output,0.81640625,0.7149076617826617,adult,,1,hgb,,full,0,ECCC735BEA3EEDDA6B709AD26D57359D0AC476882325A686EA27FF568D6C2FA3,0,EB067A02FBFC50E86611E5F523A846DA47A2F7CD7B588F6E4B13F02D93A7A9BE,1.0195136000402272,gradual,0.6328125,0,1.0,5,calibration,16,0.46875,True
AEAB6033C506EC293DC580F01370DF85E002BAC726771EFF18BF851977DCF712,explanation_independent,,,adult,True,1,hgb,True,full,4096,98FD16D636F1C3A8FA7C09E304081C3114FDFE22458435CCE62ED4AD04A2B376,1,0A8DBA5B8F53A543ACF7092F8923FCA3434E0F54BC2E592BF7EFBAAF4948DE6A,0.7732834999915212,gradual,1.3902104906974722,0,1.0,5,calibration,16,0.9527189849109015,True
AEAB6033C506EC293DC580F01370DF85E002BAC726771EFF18BF851977DCF712,explanation_paired,,,adult,True,1,hgb,True,full,4096,98FD16D636F1C3A8FA7C09E304081C3114FDFE22458435CCE62ED4AD04A2B376,1,91923182D70422004AB584B6581D1EB91A1745E369FB6D00E13A08238DC5ADD3,0.7732869999017566,gradual,1.3906274916972494,0,1.0,5,calibration,16,0.9527189849109015,True
AEAB6033C506EC293DC580F01370DF85E002BAC726771EFF18BF851977DCF712,explanation_shift,1.0,1.0,adult,,1,hgb,,full,0,98FD16D636F1C3A8FA7C09E304081C3114FDFE22458435CCE62ED4AD04A2B376,1,77D2F75842E7630F37C6CAF4DFB2A2007F19B94C96FC02428D8CA3F52D446A88,0.8903669000137597,gradual,1.0,0,1.0,5,calibration,16,0.4765625,True
