dataset,model,scenario,severity,seed,method,acc_v2,flip_v2,dconf_v2,ece_v2,mean_conf_v2,stable_frac_v2,expl_time_s_v2,top3_all_v2,top5_all_v2,spearman_all_v2,cosine_all_v2,sign_all_v2,top3_stable_v2,top5_stable_v2,spearman_stable_v2,cosine_stable_v2,sign_stable_v2,acc_legacy,flip_legacy,dconf_legacy,ece_legacy,mean_conf_legacy,stable_frac_legacy,expl_time_s_legacy,top3_all_legacy,top5_all_legacy,spearman_all_legacy,cosine_all_legacy,sign_all_legacy,top3_stable_legacy,top5_stable_legacy,spearman_stable_legacy,cosine_stable_legacy,sign_stable_legacy,key_match_status,delta_acc,delta_flip,delta_dconf,delta_ece,delta_mean_conf,delta_stable_frac,delta_expl_time_s,delta_top3_all,delta_top5_all,delta_spearman_all,delta_cosine_all,delta_sign_all,delta_top3_stable,delta_top5_stable,delta_spearman_stable,delta_cosine_stable,delta_sign_stable,comparison_use
adult,hgb,baseline,0.0,3,pi,0.8704702108783184,0.0,0.0,0.0083998398451728,0.8785314976196118,1.0,1.0599999768601265e-05,1.0,1.0,1.0,1.0,1.0,,,,,,0.8704702108783184,0.0,0.0,0.0083998398451728,0.8785314976196118,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,both,0.0,0.0,0.0,0.0,0.0,0.0,1.0599999768601265e-05,0.0,0.0,0.0,0.0,0.0,,,,,,descriptive_only_nonpaired_legacy
adult,hgb,baseline,0.0,3,shap,0.8704702108783184,0.0,0.0,0.0083998398451728,0.8785314976196118,1.0,9.40000063565094e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8704702108783184,0.0,0.0,0.0083998398451728,0.8785314976196118,1.0,0.0007505416870117,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,both,0.0,0.0,0.0,0.0,0.0,0.0,-0.000741141686376049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,descriptive_only_nonpaired_legacy
adult,hgb,baseline,0.0,4,lime,0.869310038899884,0.0,0.0,0.0110035729496753,0.8787426971067894,1.0,1.486490600000252,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.869310038899884,0.0,0.0,0.0110035729496753,0.8787426971067894,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,both,0.0,0.0,0.0,0.0,0.0,0.0,1.486490600000252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,descriptive_only_nonpaired_legacy
adult,hgb,baseline,0.0,4,pi,0.869310038899884,0.0,0.0,0.0110035729496753,0.8787426971067894,1.0,7.99999907030724e-06,1.0,1.0,1.0,1.0,1.0,,,,,,0.869310038899884,0.0,0.0,0.0110035729496753,0.8787426971067894,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,both,0.0,0.0,0.0,0.0,0.0,0.0,7.99999907030724e-06,0.0,0.0,0.0,0.0,0.0,,,,,,descriptive_only_nonpaired_legacy
adult,hgb,baseline,0.0,4,shap,0.869310038899884,0.0,0.0,0.0110035729496753,0.8787426971067894,1.0,8.900000466383062e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.869310038899884,0.0,0.0,0.0110035729496753,0.8787426971067894,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,both,0.0,0.0,0.0,0.0,0.0,0.0,8.900000466383062e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,descriptive_only_nonpaired_legacy
adult,hgb,gradual,0.2,0,lime,0.8121886303146113,0.1429741349894219,0.1554486686463943,0.1519439840682479,0.961784926113166,0.865,3.2245567999998457,0.7444444444444444,0.7266666666666668,0.7834432234432235,0.9381604201475052,0.9001107226107226,0.7530864197530863,0.725925925925926,0.7912901912901914,0.949793134733004,0.9014439264439263,0.8121886303146113,0.1429741349894219,0.1554486686463943,0.1519439840682479,0.961784926113166,0.87,0.9682824611663818,0.611111111111111,0.6000000000000001,0.5522344322344321,0.8501789176361728,0.7182858807858808,0.6071428571428571,0.5928571428571429,0.5558869701726844,0.8705334655104587,0.72014146567718,both,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,2.256274338833464,0.1333333333333333,0.1266666666666667,0.23120879120879134,0.08798150251133241,0.1818248418248417,0.14594356261022923,0.13306878306878311,0.235403221117507,0.07925966922254524,0.1813024607667464,descriptive_only_nonpaired_legacy
adult,hgb,gradual,0.2,0,pi,0.8121886303146113,0.1429741349894219,0.1554486686463943,0.1519439840682479,0.961784926113166,0.865,1.1058937999996488,1.0,0.8,0.9516483516483516,0.9854233552920144,1.0,,,,,,0.8121886303146113,0.1429741349894219,0.1554486686463943,0.1519439840682479,0.961784926113166,0.87,0.7071590423583984,0.6666666666666666,1.0,0.9032967032967032,0.9905522321055638,1.0,,,,,,both,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,0.3987347576412503,0.33333333333333337,-0.19999999999999996,0.0483516483516484,-0.0051288768135493434,0.0,,,,,,descriptive_only_nonpaired_legacy
adult,hgb,gradual,0.2,0,shap,0.8121886303146113,0.1429741349894219,0.1554486686463943,0.1519439840682479,0.961784926113166,0.865,1.85143860000062,0.6816666666666665,0.853,0.9224835164835166,0.6891757889933917,0.9749282106782108,0.6878612716763006,0.8485549132947977,0.9167630057803468,0.6917674739213431,0.9728136025823888,0.8121886303146113,0.1429741349894219,0.1554486686463943,0.1519439840682479,0.961784926113166,0.87,1.2043216228485107,0.6666666666666665,0.85,0.9063516483516484,0.6578269663006417,0.9708372460872462,0.6666666666666666,0.847126436781609,0.9046608563849944,0.6710736639091669,0.9709495804323393,both,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,0.6471169771521093,0.015000000000000013,0.0030000000000000027,0.016131868131868177,0.03134882269274997,0.004090964590964585,0.021194605009633993,0.00142847651318867,0.012102149395352368,0.020693810012176184,0.001864022150049549,descriptive_only_nonpaired_legacy
adult,hgb,gradual,0.2,1,lime,0.8144407288609841,0.1515730567119361,0.1621554617250348,0.1552677330165766,0.9653580208523374,0.835,2.465292799999588,0.7111111111111114,0.7466666666666667,0.7636630036630038,0.9203506537682812,0.8945932770932771,0.6923076923076923,0.7307692307692307,0.7646661031276416,0.9212053169282228,0.8965932571701802,0.8144407288609841,0.1515730567119361,0.1621554617250348,0.1552677330165766,0.9653580208523374,0.82,1.089932203292847,0.5555555555555556,0.56,0.4153846153846153,0.8165892672676314,0.6797626447626448,0.5652173913043478,0.5739130434782609,0.3702818920210224,0.850350999121508,0.6682602421732856,both,0.0,0.0,0.0,0.0,0.0,0.015000000000000013,1.3753605967067413,0.15555555555555578,0.18666666666666665,0.3482783882783885,0.10376138650064981,0.21483063233063227,0.1270903010033445,0.15685618729096984,0.3943842111066192,0.0708543178067148,0.22833301499689462,descriptive_only_nonpaired_legacy
adult,hgb,gradual,0.2,1,pi,0.8144407288609841,0.1515730567119361,0.1621554617250348,0.1552677330165766,0.9653580208523374,0.835,1.0602193000004263,1.0,1.0,0.9516483516483516,0.9821132911548373,1.0,,,,,,0.8144407288609841,0.1515730567119361,0.1621554617250348,0.1552677330165766,0.9653580208523374,0.82,1.046330451965332,1.0,1.0,0.934065934065934,0.9901631842933496,1.0,,,,,,both,0.0,0.0,0.0,0.0,0.0,0.015000000000000013,0.01388884803509427,0.0,0.0,0.01758241758241763,-0.008049893138512343,0.0,,,,,,descriptive_only_nonpaired_legacy
adult,hgb,gradual,0.2,1,shap,0.8144407288609841,0.1515730567119361,0.1621554617250348,0.1552677330165766,0.9653580208523374,0.835,1.2729355000001306,0.685,0.85,0.9101978021978024,0.6540416630886671,0.9793326118326118,0.686626746506986,0.8455089820359281,0.9169309732183984,0.6945984100415353,0.9839431526557276,0.8144407288609841,0.1515730567119361,0.1621554617250348,0.1552677330165766,0.9653580208523374,0.82,1.3916776180267334,0.6733333333333335,0.8560000000000001,0.907978021978022,0.6475916029086025,0.9707518037518038,0.6727642276422764,0.8536585365853658,0.905012061109622,0.6673759542589824,0.9753409530848556,both,0.0,0.0,0.0,0.0,0.0,0.015000000000000013,-0.11874211802660284,0.011666666666666603,-0.006000000000000116,0.0022197802197804206,0.006450060180064554,0.008580808080807967,0.013862518864709572,-0.008149554549437776,0.011918912108776492,0.02722245578255289,0.008602199570872049,descriptive_only_nonpaired_legacy
adult,hgb,gradual,0.2,2,lime,0.813485293114038,0.1444072886098409,0.1610691368253538,0.1567695240235453,0.9657480448684044,0.865,3.3985382000000754,0.7777777777777779,0.7333333333333335,0.8336996336996338,0.9352970976562868,0.8924040774040773,0.7857142857142857,0.7357142857142859,0.8379905808477238,0.9437676774955858,0.8961982461982462,0.813485293114038,0.1444072886098409,0.1610691368253538,0.1567695240235453,0.9657480448684044,0.87,0.9910645484924316,0.6222222222222222,0.6200000000000002,0.4978754578754579,0.7723199487841138,0.7008160358160358,0.6172839506172839,0.6296296296296297,0.4964590964590964,0.7830854875531023,0.6967220022775579,both,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,2.407473651507644,0.15555555555555567,0.11333333333333329,0.33582417582417595,0.16297714887217296,0.19158804158804155,0.16843033509700178,0.10608465608465623,0.3415314843886274,0.1606821899424835,0.1994762439206883,descriptive_only_nonpaired_legacy
