budget_instances,budget_samples,budget_label,rows,top5_mean,cosine_mean,runtime_median
30,500,30x500,225,0.6648296296296298,0.8829631623340837,0.415477991104126
75,1000,75x1000,225,0.7014992592592592,0.9170074408608895,1.3524830341339111
150,2000,150x2000,225,0.7372503703703703,0.9341116211715389,3.5978102684021
