dataset,model,n_test,positive_rate,majority_accuracy,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,auroc_mean,auroc_std,average_precision_mean,average_precision_std,ece_mean,ece_std
adult,hgb,14653.0,0.23926840919948136,0.7607315908005187,0.8712209103937759,0.003500863175781222,0.7961332892475502,0.0074038874986841795,0.7078173966094481,0.01016348800253692,0.9279535764625724,0.0017645956256391881,0.8273585825043999,0.0042882125044577946,0.009829220991706461,0.0009883982289905944
adult,logreg,14653.0,0.23926840919948136,0.7607315908005187,0.8508428308196274,0.002618614729583366,0.7632857993609335,0.006269524549868937,0.6563105972366794,0.0087788386413889,0.9048947399045408,0.0016085436304789163,0.7629362614746045,0.0029053917073170307,0.009668130343863336,0.0021616625202055383
adult,rf,14653.0,0.23926840919948136,0.7607315908005187,0.8603152937964922,0.002239863861295963,0.7586997051434874,0.005591765268598592,0.6588319487802881,0.008273718649476977,0.9139883973396847,0.0018764762711936892,0.7955843023677036,0.0030146214532282673,0.03351519632917762,0.001784861914854898
bank-marketing,hgb,13564.0,0.11700088469478029,0.8829991153052197,0.9079769979357122,0.0013953238244400607,0.7331222955739732,0.005457952022681366,0.5620810982074933,0.007357255515486191,0.9349215854226799,0.002381131451630211,0.6233514239117017,0.0034580908180017024,0.012524657744390566,0.0016660887984478534
bank-marketing,logreg,13564.0,0.11700088469478029,0.8829991153052197,0.9010321439103508,0.0007290908472472094,0.6602601741554741,0.0030403929887820634,0.44990623307576305,0.006063345796255192,0.9056297727544271,0.004408155982673938,0.5472281701888988,0.009585792535791423,0.029933547205896128,0.0014312149301489165
bank-marketing,rf,13564.0,0.11700088469478029,0.8829991153052197,0.9003096431731052,0.001226356672737179,0.6123492259555031,0.005502926240989997,0.3567812081480069,0.013426636588112136,0.9266068776328753,0.0022301485461522137,0.6099337473653528,0.006735819053166994,0.033087841441032315,0.002281171465867575
electricity,hgb,13594.0,0.4245255259673385,0.5754744740326615,0.9022804178313961,0.0019376256821411009,0.8998155495129604,0.0016679332714045912,0.8847471923327183,0.0020036170462744665,0.9671297306484199,0.0007440186513074274,0.9571517956720339,0.0014685504599709267,0.04222183341128849,0.002417332339223125
electricity,logreg,13594.0,0.4245255259673385,0.5754744740326615,0.7599970575253788,0.0018679500071330153,0.742331161952126,0.0017589211414846533,0.6886702162389268,0.002549624495141729,0.8275867916590627,0.002258397497182876,0.7965552578164463,0.00378598502502343,0.01627968927515712,0.0026117947091374824
electricity,rf,13594.0,0.4245255259673385,0.5754744740326615,0.8446226276298366,0.0020128279341742063,0.8346159803677505,0.0019372841620895465,0.8076353074439112,0.0023447709206297794,0.9284445961775182,0.0016813289889820208,0.9083657000990799,0.0015295469497659327,0.06726900711850725,0.0036999400084481503
