dataset,seed,model,scenario,sev_idx,severity,feature_ks_p_adj,feature_ks_alert,feature_max_std_mean_shift,prediction_ks_p,prediction_ks_alert
adult,0,hgb,quantize,5,2.0,0.0,True,1.1320217738687712,0.0,True
adult,0,logreg,gradual,1,0.2,0.0,True,0.3007606940935836,1.5014952534845325e-154,True
adult,0,rf,gradual,1,0.2,0.0,True,0.3007606940935836,1.4396756384445485e-23,True
adult,0,hgb,gradual,1,0.2,0.0,True,0.3007606940935836,0.0,True
adult,0,logreg,gradual,2,0.4,0.0,True,0.6015213881871672,0.0,True
adult,0,rf,gradual,2,0.4,0.0,True,0.6015213881871672,3.4465660070335505e-140,True
adult,0,hgb,gradual,2,0.4,0.0,True,0.6015213881871672,3.1415641745094724e-174,True
adult,0,logreg,gradual,3,0.6,0.0,True,0.9022820822807508,0.0,True
adult,0,rf,gradual,3,0.6,0.0,True,0.9022820822807508,0.0,True
adult,0,hgb,gradual,3,0.6,0.0,True,0.9022820822807508,0.0,True
adult,0,logreg,gradual,4,0.8,0.0,True,1.2030427763743343,0.0,True
adult,0,rf,gradual,4,0.8,0.0,True,1.2030427763743343,0.0,True
adult,0,hgb,gradual,4,0.8,0.0,True,1.2030427763743343,0.0,True
adult,0,logreg,gradual,5,1.0,0.0,True,1.5038034704679164,0.0,True
adult,0,rf,gradual,5,1.0,0.0,True,1.5038034704679164,0.0,True
adult,0,hgb,gradual,5,1.0,0.0,True,1.5038034704679164,0.0,True
adult,1,logreg,mean_shift,1,0.25,0.0,True,0.2500000000000001,9.740780531986863e-108,True
adult,1,rf,mean_shift,1,0.25,0.0,True,0.2500000000000001,9.765622040500946e-23,True
adult,1,hgb,mean_shift,1,0.25,0.0,True,0.2500000000000001,0.0,True
adult,1,logreg,mean_shift,2,0.5,0.0,True,0.49999999999999994,0.0,True
adult,1,rf,mean_shift,2,0.5,0.0,True,0.49999999999999994,5.407188893654664e-138,True
adult,1,hgb,mean_shift,2,0.5,0.0,True,0.49999999999999994,0.0,True
adult,1,logreg,mean_shift,3,1.0,0.0,True,1.0000000000000009,0.0,True
adult,1,rf,mean_shift,3,1.0,0.0,True,1.0000000000000009,0.0,True
adult,1,hgb,mean_shift,3,1.0,0.0,True,1.0000000000000009,0.0,True
adult,1,logreg,mean_shift,4,1.5,0.0,True,1.5000000000000009,0.0,True
adult,1,rf,mean_shift,4,1.5,0.0,True,1.5000000000000009,0.0,True
adult,1,hgb,mean_shift,4,1.5,0.0,True,1.5000000000000009,0.0,True
adult,1,logreg,mean_shift,5,2.0,0.0,True,2.0000000000000018,0.0,True
adult,1,rf,mean_shift,5,2.0,0.0,True,2.0000000000000018,0.0,True
adult,1,hgb,mean_shift,5,2.0,0.0,True,2.0000000000000018,0.0,True
adult,1,logreg,noise,1,0.1,0.0,True,0.0012934537889244789,0.9991766177813247,False
adult,1,rf,noise,1,0.1,0.0,True,0.0012934537889244789,0.24498959617385319,False
adult,1,hgb,noise,1,0.1,0.0,True,0.0012934537889244789,1.8309668870536904e-156,True
adult,1,logreg,noise,2,0.25,0.0,True,0.003652692508515064,0.2066650609262457,False
adult,1,rf,noise,2,0.25,0.0,True,0.003652692508515064,8.683280193469725e-06,True
adult,1,hgb,noise,2,0.25,0.0,True,0.003652692508515064,3.305513774393241e-172,True
adult,1,logreg,noise,3,0.5,0.0,True,0.004406901815663565,5.769653571360684e-08,True
