dataset,model,seed,budget_instances,budget_samples,scenario,severity,n_explained,method,fit_time_s,pred_base_time_s,pred_time_s,expl_time_s,context_cache_hit,base_cache_hit,acc,flip,dconf,ece,mean_conf,stable_frac,top3_all,top5_all,spearman_all,cosine_all,sign_all,top3_stable,top5_stable,spearman_stable,cosine_stable,sign_stable
adult,hgb,0,30,500,baseline,0.0,30,lime,1.7812511920928955,0.18909215927124023,0.2860298156738281,1.3367676734924316,True,False,0.8705384562888145,0.0,0.0,0.009458071601792573,0.8776564011522708,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,hgb,0,30,500,gradual,1.0,30,lime,1.7812511920928955,0.18909215927124023,0.2212526798248291,0.8175623416900635,True,False,0.3575377055892991,0.640619668327305,0.5764360584023832,0.5293085778927609,0.8405003957228647,0.3333333333333333,0.5333333333333333,0.52,0.3302564102564102,0.7482353791947235,0.6244115144115143,0.5333333333333332,0.44000000000000006,0.3151648351648352,0.6749134785309339,0.5792446442446442
adult,hgb,0,30,500,mean_shift,2.0,30,lime,1.7812511920928955,0.18909215927124023,0.29033470153808594,0.6405000686645508,True,False,0.23926840919948134,0.8036579540025933,0.7588359677001136,0.7542435450611209,0.9935021640892122,0.2,0.48888888888888893,0.5399999999999999,0.2413186813186813,0.6774022440704203,0.5771632071632072,0.38888888888888884,0.5666666666666668,0.23663003663003668,0.42824051692611725,0.5455738705738705
adult,hgb,0,30,500,missing,0.5,30,lime,1.7812511920928955,0.18909215927124023,0.2966141700744629,0.809497594833374,True,False,0.8366204872722309,0.07923292158602334,0.07219923037976263,0.02169280928711229,0.8516404140759795,0.9666666666666667,0.5555555555555555,0.6466666666666666,0.4666666666666667,0.742420943767226,0.6902506752506753,0.5632183908045978,0.6413793103448276,0.4723758999621069,0.7567985534695199,0.695484783415818
adult,hgb,0,30,500,noise,1.0,30,lime,1.7812511920928955,0.18909215927124023,0.2285628318786621,0.8483941555023193,True,False,0.7092063058759298,0.252371528014741,0.2392423457941619,0.20756644409672775,0.9130093548351728,0.7,0.5555555555555555,0.5399999999999999,0.4657875457875458,0.7050087871687203,0.6851193251193253,0.5396825396825397,0.5333333333333333,0.4585034013605442,0.6884199104350851,0.6681968824825968
adult,hgb,0,30,500,quantize,2.0,30,lime,1.7812511920928955,0.18909215927124023,0.2804989814758301,0.849207878112793,True,False,0.7926704429127142,0.16426670306421892,0.1878881779957984,0.19076851629454394,0.983426460706375,0.8333333333333334,0.611111111111111,0.5666666666666667,0.404981684981685,0.7924250970793085,0.6505057905057906,0.6,0.5760000000000001,0.39604395604395604,0.8301908286797789,0.6474421134421136
adult,hgb,0,75,1000,baseline,0.0,75,lime,1.7812511920928955,0.247511625289917,0.36745214462280273,3.1968719959259033,True,False,0.8705384562888145,0.0,0.0,0.009458071601792573,0.8776564011522708,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,hgb,0,75,1000,gradual,1.0,75,lime,1.7812511920928955,0.247511625289917,0.7109041213989258,4.753581523895264,True,False,0.3575377055892991,0.640619668327305,0.5764360584023832,0.5293085778927609,0.8405003957228647,0.36,0.5333333333333332,0.5200000000000001,0.37213186813186816,0.7995325300473585,0.657963924963925,0.48148148148148157,0.4740740740740741,0.2768416768416769,0.6737831201094496,0.587295420628754
adult,hgb,0,75,1000,mean_shift,2.0,75,lime,1.7812511920928955,0.247511625289917,0.23699545860290527,3.0339958667755127,True,False,0.23926840919948134,0.8036579540025933,0.7588359677001136,0.7542435450611209,0.9935021640892122,0.2,0.4799999999999999,0.49066666666666653,0.25866666666666666,0.7570347039065957,0.6064346394346396,0.4666666666666666,0.5066666666666667,0.2665201465201465,0.5082263102214557,0.6063079513079513
adult,hgb,0,75,1000,missing,0.5,75,lime,1.7812511920928955,0.247511625289917,0.3592374324798584,2.8637945652008057,True,False,0.8366204872722309,0.07923292158602334,0.07219923037976263,0.02169280928711229,0.8516404140759795,0.9333333333333333,0.6088888888888888,0.6266666666666668,0.527912087912088,0.8631354402743862,0.7272127872127873,0.6047619047619046,0.62,0.5275981161695449,0.8749311552594421,0.7268297179011464
