dataset,model,scenario,method,explanation_first,monitor,first_alert,explanation_before_monitor,same_as_monitor,after_monitor
bank-marketing,hgb,gradual,shap,1,feature_ks_alert,1,False,True,False
bank-marketing,hgb,gradual,shap,1,prediction_ks_alert,1,False,True,False
bank-marketing,hgb,mean_shift,lime,1,feature_ks_alert,1,False,True,False
bank-marketing,hgb,mean_shift,lime,1,prediction_ks_alert,1,False,True,False
bank-marketing,hgb,mean_shift,pi,3,feature_ks_alert,1,False,False,True
bank-marketing,hgb,mean_shift,pi,3,prediction_ks_alert,1,False,False,True
bank-marketing,hgb,mean_shift,shap,1,feature_ks_alert,1,False,True,False
bank-marketing,hgb,mean_shift,shap,1,prediction_ks_alert,1,False,True,False
bank-marketing,hgb,missing,lime,1,feature_ks_alert,1,False,True,False
bank-marketing,hgb,missing,lime,1,prediction_ks_alert,2,True,False,False
bank-marketing,hgb,missing,pi,5,feature_ks_alert,1,False,False,True
bank-marketing,hgb,missing,pi,5,prediction_ks_alert,2,False,False,True
bank-marketing,hgb,missing,shap,2,feature_ks_alert,1,False,False,True
bank-marketing,hgb,missing,shap,2,prediction_ks_alert,2,False,True,False
bank-marketing,hgb,noise,lime,1,feature_ks_alert,1,False,True,False
bank-marketing,hgb,noise,lime,1,prediction_ks_alert,1,False,True,False
bank-marketing,hgb,noise,pi,2,feature_ks_alert,1,False,False,True
bank-marketing,hgb,noise,pi,2,prediction_ks_alert,1,False,False,True
bank-marketing,hgb,noise,shap,1,feature_ks_alert,1,False,True,False
bank-marketing,hgb,noise,shap,1,prediction_ks_alert,1,False,True,False
bank-marketing,hgb,quantize,lime,1,feature_ks_alert,1,False,True,False
bank-marketing,hgb,quantize,lime,1,prediction_ks_alert,1,False,True,False
bank-marketing,hgb,quantize,pi,2,feature_ks_alert,1,False,False,True
bank-marketing,hgb,quantize,pi,2,prediction_ks_alert,1,False,False,True
bank-marketing,hgb,quantize,shap,1,feature_ks_alert,1,False,True,False
bank-marketing,hgb,quantize,shap,1,prediction_ks_alert,1,False,True,False
bank-marketing,logreg,gradual,lime,1,feature_ks_alert,1,False,True,False
bank-marketing,logreg,gradual,lime,1,prediction_ks_alert,1,False,True,False
bank-marketing,logreg,gradual,pi,5,feature_ks_alert,1,False,False,True
bank-marketing,logreg,gradual,pi,5,prediction_ks_alert,1,False,False,True
bank-marketing,logreg,gradual,shap,6,feature_ks_alert,1,False,False,True
bank-marketing,logreg,gradual,shap,6,prediction_ks_alert,1,False,False,True
bank-marketing,logreg,mean_shift,lime,1,feature_ks_alert,1,False,True,False
bank-marketing,logreg,mean_shift,lime,1,prediction_ks_alert,1,False,True,False
bank-marketing,logreg,mean_shift,pi,6,feature_ks_alert,1,False,False,True
bank-marketing,logreg,mean_shift,pi,6,prediction_ks_alert,1,False,False,True
bank-marketing,logreg,mean_shift,shap,6,feature_ks_alert,1,False,False,True
bank-marketing,logreg,mean_shift,shap,6,prediction_ks_alert,1,False,False,True
bank-marketing,logreg,missing,lime,1,feature_ks_alert,1,False,True,False
bank-marketing,logreg,missing,lime,1,prediction_ks_alert,2,True,False,False
bank-marketing,logreg,missing,pi,1,feature_ks_alert,1,False,True,False
bank-marketing,logreg,missing,pi,1,prediction_ks_alert,2,True,False,False
bank-marketing,logreg,missing,shap,6,feature_ks_alert,1,False,False,True
bank-marketing,logreg,missing,shap,6,prediction_ks_alert,2,False,False,True
bank-marketing,logreg,noise,lime,1,feature_ks_alert,1,False,True,False
bank-marketing,logreg,noise,lime,1,prediction_ks_alert,3,True,False,False
bank-marketing,logreg,noise,pi,5,feature_ks_alert,1,False,False,True
bank-marketing,logreg,noise,pi,5,prediction_ks_alert,3,False,False,True
bank-marketing,logreg,noise,shap,4,feature_ks_alert,1,False,False,True
bank-marketing,logreg,noise,shap,4,prediction_ks_alert,3,False,False,True
bank-marketing,logreg,quantize,lime,1,feature_ks_alert,1,False,True,False
bank-marketing,logreg,quantize,lime,1,prediction_ks_alert,4,True,False,False
bank-marketing,logreg,quantize,pi,5,feature_ks_alert,1,False,False,True
bank-marketing,logreg,quantize,pi,5,prediction_ks_alert,4,False,False,True
bank-marketing,logreg,quantize,shap,5,feature_ks_alert,1,False,False,True
bank-marketing,logreg,quantize,shap,5,prediction_ks_alert,4,False,False,True
bank-marketing,rf,gradual,lime,1,feature_ks_alert,1,False,True,False
bank-marketing,rf,gradual,lime,1,prediction_ks_alert,1,False,True,False
bank-marketing,rf,gradual,pi,1,feature_ks_alert,1,False,True,False
bank-marketing,rf,gradual,pi,1,prediction_ks_alert,1,False,True,False
bank-marketing,rf,gradual,shap,1,feature_ks_alert,1,False,True,False
bank-marketing,rf,gradual,shap,1,prediction_ks_alert,1,False,True,False
bank-marketing,rf,mean_shift,lime,1,feature_ks_alert,1,False,True,False
bank-marketing,rf,mean_shift,lime,1,prediction_ks_alert,1,False,True,False
bank-marketing,rf,mean_shift,pi,1,feature_ks_alert,1,False,True,False
bank-marketing,rf,mean_shift,pi,1,prediction_ks_alert,1,False,True,False
bank-marketing,rf,mean_shift,shap,1,feature_ks_alert,1,False,True,False
bank-marketing,rf,mean_shift,shap,1,prediction_ks_alert,1,False,True,False
bank-marketing,rf,missing,lime,1,feature_ks_alert,1,False,True,False
bank-marketing,rf,missing,lime,1,prediction_ks_alert,2,True,False,False
bank-marketing,rf,missing,pi,2,feature_ks_alert,1,False,False,True
bank-marketing,rf,missing,pi,2,prediction_ks_alert,2,False,True,False
bank-marketing,rf,missing,shap,5,feature_ks_alert,1,False,False,True
bank-marketing,rf,missing,shap,5,prediction_ks_alert,2,False,False,True
bank-marketing,rf,noise,lime,1,feature_ks_alert,1,False,True,False
bank-marketing,rf,noise,lime,1,prediction_ks_alert,1,False,True,False
bank-marketing,rf,noise,pi,3,feature_ks_alert,1,False,False,True
bank-marketing,rf,noise,pi,3,prediction_ks_alert,1,False,False,True
bank-marketing,rf,noise,shap,2,feature_ks_alert,1,False,False,True
bank-marketing,rf,noise,shap,2,prediction_ks_alert,1,False,False,True
bank-marketing,rf,quantize,lime,1,feature_ks_alert,1,False,True,False
bank-marketing,rf,quantize,lime,1,prediction_ks_alert,1,False,True,False
bank-marketing,rf,quantize,pi,3,feature_ks_alert,1,False,False,True
bank-marketing,rf,quantize,pi,3,prediction_ks_alert,1,False,False,True
bank-marketing,rf,quantize,shap,2,feature_ks_alert,1,False,False,True
