arm,dataset,split,model,scenario,window,unit_id,method,budget,mse_crn,nmse_crn,bias2_plugin_crn,bias2_corrected_crn,variance_crn,top5_mismatch_crn,mse_independent,nmse_independent,bias2_plugin_independent,bias2_corrected_independent,variance_independent,top5_mismatch_independent,normalizer,mse_difference_marginal,mse_difference_cross,mse_identity_residual
E2,adult,10,hgb,null,0,E2-adult-10-hgb-null-0,ks_complement,512,6.509920514770366e-05,0.0006050756296251994,3.5262175509138653e-06,-5.7864828887212e-07,6.567785343657576e-05,0.07499999999999998,6.195147316683138e-05,0.0005758184995896438,2.1011859139707984e-06,-1.888833236219907e-06,6.384030640305129e-05,0.07499999999999998,0.10758854258934195,1.0000216029197207e-05,-6.8524840483249335e-06,5.929230630780102e-21
E2,adult,10,hgb,null,0,E2-adult-10-hgb-null-0,leverage,512,4.049532295040334e-05,0.0003763906636877795,1.9313817977552906e-06,-6.395476124212459e-07,4.1134870562824584e-05,0.024999999999999994,4.214271030467171e-05,0.0003917025855209094,1.7313132624160284e-06,-9.627798737343503e-07,4.310549017840606e-05,0.03749999999999999,0.10758854258934195,2.756534202546316e-06,-4.403921556814679e-06,-7.623296525288703e-21
E2,electricity,10,hgb,null,0,E2-electricity-10-hgb-null-0,ks_complement,128,0.0003014267535348702,0.0011681918367475663,3.5987834470989324e-05,1.8291906533397264e-05,0.00028313484700147296,0.09999999999999998,0.0004430469526451141,0.0017170467694269682,2.3607653591441452e-05,-4.35496634547006e-06,0.0004474019189905842,0.08749999999999998,0.2580284710549688,-7.760312152510902e-05,-6.401707758513487e-05,1.3552527156068805e-20
E2,electricity,10,hgb,null,0,E2-electricity-10-hgb-null-0,leverage,128,8.329777992067855e-05,0.000322823987523971,7.674525168859475e-06,2.632974852071537e-06,8.0664805068607e-05,0.03749999999999999,7.496731418876057e-05,0.0002905389234073708,6.185372896630861e-06,1.599910143822213e-06,7.336740404493837e-05,0.07499999999999998,0.2580284710549688,1.5459915315374034e-05,-7.129449583456112e-06,5.759824041329242e-20
E2,adult,10,hgb,null,1,E2-adult-10-hgb-null-1,ks_complement,512,5.0101150727285396e-05,0.00045685248943409915,9.611141359119158e-07,-2.314888303512983e-06,5.241603903079838e-05,0.03749999999999999,6.76927270759196e-05,0.000617263085423997,3.991720110196208e-06,-2.550136875186843e-07,6.794774076343828e-05,0.04999999999999999,0.10966592474815107,-4.976344321250985e-06,-1.2615232027383223e-05,3.3881317890172014e-21
E2,adult,10,hgb,null,1,E2-adult-10-hgb-null-1,leverage,512,2.9028839836682376e-05,0.00026470245797267846,1.875766458243361e-06,6.556156634742642e-08,2.8963278270334954e-05,0.012499999999999997,2.6646131576090953e-05,0.00024297548794016073,2.328693715790021e-06,7.075311917699586e-07,2.5938600384320996e-05,0.0,0.10966592474815107,3.535371740944669e-06,-1.1526634803532463e-06,0.0
E2,electricity,10,hgb,null,1,E2-electricity-10-hgb-null-1,ks_complement,128,0.00010473813197058074,0.000402361802808308,6.2103728402646584e-06,-3.581444350897469e-07,0.00010509627640567049,0.09999999999999998,0.00019345788522828977,0.00074318743330081,2.7658999871298355e-05,1.6605740847498926e-05,0.00017685214438079087,0.16249999999999998,0.26030833752000004,1.3396465908619128e-05,-0.0001021162191663282,4.0657581468206416e-20
E2,electricity,10,hgb,null,1,E2-electricity-10-hgb-null-1,leverage,128,2.710921713686214e-05,0.00010414271550091738,2.8166801588416965e-06,1.1971776936403336e-06,2.5912039443221806e-05,0.0,4.8849131812345536e-05,0.00018765872917379128,3.7718659886494546e-06,7.667149337363826e-07,4.808241687860915e-05,0.012499999999999997,0.26030833752000004,1.17353899298363e-06,-2.2913453668467033e-05,6.776263578034403e-21
E2,adult,10,hgb,null,2,E2-adult-10-hgb-null-2,ks_complement,512,6.124613143628635e-05,0.0007504666018660457,6.622181654098586e-06,2.980585001952736e-06,5.82655464343336e-05,0.0,7.957618355166906e-05,0.0009750700437563974,5.908099248883308e-06,9.968936286975917e-07,7.857928992297146e-05,0.0,0.0816107356196758,-1.2916157230854584e-05,-5.4138948845281424e-06,1.5246593050577406e-20
E2,adult,10,hgb,null,2,E2-adult-10-hgb-null-2,leverage,512,3.598801987816133e-05,0.00044097163939158093,2.1137454160548693e-06,-1.4453954808556128e-07,3.613255942624689e-05,0.0,4.5395917493450844e-05,0.0005562493359330313,2.5677787788260893e-06,-2.8743046881556057e-07,4.56833479622664e-05,0.0,0.0816107356196758,2.3377375427785407e-06,-1.1745635158068058e-05,0.0
E2,electricity,10,hgb,null,2,E2-electricity-10-hgb-null-2,ks_complement,128,0.0002502949628230745,0.0012429312964687147,1.2285005249424739e-05,-3.5823252554852434e-06,0.0002538772880785597,0.0,0.0002991085528762322,0.001485333053522654,2.4909438447571315e-05,6.629497485660591e-06,0.0002924790553905716,0.0,0.20137473690958313,9.502390412879273e-06,-5.831598046603692e-05,-4.0657581468206416e-20
E2,electricity,10,hgb,null,2,E2-electricity-10-hgb-null-2,leverage,128,5.968007651316331e-05,0.0002963632749025492,4.672315858053466e-06,1.0051318143794762e-06,5.867494469878384e-05,0.0,8.655764376930424e-05,0.00042983367773768196,4.894129005293865e-06,-5.501053123068265e-07,8.710774908161106e-05,0.0,0.20137473690958313,-2.8471091453255112e-06,-2.4030458110815394e-05,-2.710505431213761e-20
E2,adult,10,hgb,null,3,E2-adult-10-hgb-null-3,ks_complement,512,4.069934009336963e-05,0.000677251531353065,2.4460317354075092e-06,-1.0418882178996515e-07,4.080352891515959e-05,0.0,5.516105295673872e-05,0.0009178995900251668,3.854792747915675e-06,4.3437540066080486e-07,5.472667755607792e-05,0.0,0.06009486610101474,-3.3216483277554994e-06,-1.114006453561356e-05,-3.3881317890172014e-20
E2,adult,10,hgb,null,3,E2-adult-10-hgb-null-3,leverage,512,2.3231777797775627e-05,0.00038658506633037235,1.6581665900865073e-06,2.1992584290723279e-07,2.301185195486839e-05,0.0,2.2129529097342325e-05,0.0003682432549253763,1.4486191932087812e-06,6.989186626654506e-08,2.2059637231075778e-05,0.0,0.06009486610101474,2.3058622764474157e-06,-1.2036135760141022e-06,-1.1858461261560205e-20
E2,electricity,10,hgb,null,3,E2-electricity-10-hgb-null-3,ks_complement,128,0.00010925115458627205,0.001347626604450028,5.025148555364182e-06,-1.9232518466963423e-06,0.00011117440643296839,0.0,0.00025640956272872194,0.0031628439047365767,2.8863912707149284e-05,1.3694202705711106e-05,0.00024271536002301084,0.012499999999999997,0.0810693067541939,-3.063312453475378e-05,-0.00011652528360769611,0.0
E2,electricity,10,hgb,null,3,E2-electricity-10-hgb-null-3,leverage,128,2.9791818394893815e-05,0.0003674857919437262,1.8934015335438914e-06,3.3507076120563514e-08,2.9758311318773246e-05,0.0,4.8648521401225214e-05,0.0006000855730607135,2.0783770679197014e-06,-1.0262992209673323e-06,4.967482062219254e-05,0.0,0.0810693067541939,-1.1814488713588177e-06,-1.7675254134972577e-05,-3.3881317890172014e-21
E2,adult,10,hgb,null,4,E2-adult-10-hgb-null-4,ks_complement,512,4.088202606379303e-05,0.00041842115816185263,5.309691957674596e-06,2.9382030172667e-06,3.794382304652634e-05,0.07499999999999998,4.9938534196965304e-05,0.0005111131058669659,3.541243940841823e-06,4.480912571002577e-07,4.9490442939865046e-05,0.03749999999999999,0.09770544645349685,-1.697506625668951e-06,-7.359001507503316e-06,-6.776263578034403e-21
E2,adult,10,hgb,null,4,E2-adult-10-hgb-null-4,leverage,512,2.2529544929330843e-05,0.0002305863771888483,1.5325467811990903e-06,1.3274690465697348e-07,2.239679802467387e-05,0.04999999999999999,2.435100541006648e-05,0.00024922874101656554,1.7025132154498187e-06,1.926137358087079e-07,2.4158391674257773e-05,0.09999999999999998,0.09770544645349685,1.3344721103803588e-06,-3.1559325911160036e-06,8.470329472543003e-21
E2,electricity,10,hgb,null,4,E2-electricity-10-hgb-null-4,ks_complement,128,0.0003446255588534611,0.0013088661266105867,2.6293440683721462e-05,5.071299472405485e-06,0.00033955425938105564,0.09999999999999998,0.0003575532288115019,0.0013579646013736721,4.844829559539111e-05,2.7841300047650388e-05,0.0003297119287638515,0.11249999999999998,0.26330084631794737,-1.0077174707273225e-05,-2.850495250766993e-06,-5.742883382384156e-19
E2,electricity,10,hgb,null,4,E2-electricity-10-hgb-null-4,leverage,128,6.511722200434115e-05,0.0002473111002678253,7.660896361922783e-06,3.830474652428224e-06,6.128674735191294e-05,0.08749999999999998,7.057583704056695e-05,0.0002680425757361354,7.315034497725691e-06,3.0976476615362733e-06,6.747818937903068e-05,0.04999999999999999,0.26330084631794737,-4.857420801325797e-07,-4.972872956093195e-06,-3.218725199566341e-20
