arm,dataset,split,model,scenario,instance,unit_id,method,budget,mse_crn,nmse_crn,bias2_plugin_crn,bias2_corrected_crn,variance_crn,top5_mismatch_crn,mse_independent,nmse_independent,bias2_plugin_independent,bias2_corrected_independent,variance_independent,top5_mismatch_independent,normalizer,mse_difference_marginal,mse_difference_cross,mse_identity_residual
E1,adult,10,hgb,null,0,E1-adult-10-hgb-null-0,ks_iid,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0033548937364664784,0.010143032473537072,0.00010062632618634868,-4.350041887203908e-06,0.0033592437783536828,0.60625,0.33075845366948353,0.0002646979923493616,-0.0036195917288158403,4.336808689942018e-19
E1,adult,10,hgb,null,0,E1-adult-10-hgb-null-0,ks_iid,1024,0.0,0.0,0.0,0.0,0.0,0.0,0.001972642481870208,0.00596399717070091,8.277665397270151e-05,2.1813240169556134e-05,0.001950829241700652,0.675,0.33075845366948353,-3.433486586869945e-05,-0.0019383076160015087,2.168404344971009e-19
E1,adult,10,hgb,null,0,E1-adult-10-hgb-null-0,ks_complement,512,0.0,0.0,0.0,0.0,0.0,0.0,0.00028874417584561326,0.0008729759516113417,7.979894167467704e-06,-1.0770181447305386e-06,0.00028982119399034376,0.6687500000000001,0.33075845366948353,8.807818737187021e-06,-0.0002975519945828003,0.0
E1,adult,10,hgb,null,0,E1-adult-10-hgb-null-0,ks_complement,1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0001403150025752163,0.00042422196929070376,7.25858622825221e-06,2.966443765446916e-06,0.0001373485588097694,0.7125,0.33075845366948353,4.769040235436728e-06,-0.00014508404281065302,-2.710505431213761e-20
E1,adult,10,hgb,null,0,E1-adult-10-hgb-null-0,leverage,512,0.0,0.0,0.0,0.0,0.0,0.0,0.00016192708875940266,0.0004895629634343716,4.81160239800897e-06,-2.5663909751985806e-07,0.0001621837278569225,0.6312500000000001,0.33075845366948353,-3.3198098882463564e-06,-0.0001586072788711563,0.0
E1,adult,10,hgb,null,0,E1-adult-10-hgb-null-0,leverage,1024,0.0,0.0,0.0,0.0,0.0,0.0,6.358871463211461e-05,0.0001922512151289013,7.85037124828277e-07,-1.240887956051927e-06,6.482960258816652e-05,0.675,0.33075845366948353,1.9544548392753593e-06,-6.554316947138996e-05,-1.3552527156068805e-20
E1,adult,10,hgb,null,0,E1-adult-10-hgb-null-0,poly3,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0006228369488697552,0.0018830567804387442,7.107623685874559e-06,-1.2754612610379656e-05,0.0006355915614801349,0.59375,0.33075845366948353,4.8470320527532306e-05,-0.0006713072693972876,0.0
E1,adult,10,hgb,null,0,E1-adult-10-hgb-null-0,poly3,1024,0.0,0.0,0.0,0.0,0.0,0.0,0.000448682599528174,0.0013565264758932764,1.552100369966366e-05,1.5480489955181625e-06,0.0004471345505326559,0.6875,0.33075845366948353,-0.0001559937795830342,-0.0002926888199451398,0.0
E1,electricity,10,hgb,null,0,E1-electricity-10-hgb-null-0,ks_iid,128,0.0,0.0,0.0,0.0,0.0,0.0,0.009676436628018462,0.008713842156622917,0.0007294183030721383,0.000440804808719031,0.009235631819299431,0.36874999999999997,1.110467283443266,-8.713732976707746e-05,-0.009589299298251384,0.0
E1,electricity,10,hgb,null,0,E1-electricity-10-hgb-null-0,ks_iid,192,0.0,0.0,0.0,0.0,0.0,0.0,0.007442107138167555,0.006701779736447115,0.00014541395691558982,-8.99632424796349e-05,0.007532070380647191,0.375,1.110467283443266,-0.001117866622770699,-0.0063242405153968555,-8.673617379884035e-19
E1,electricity,10,hgb,null,0,E1-electricity-10-hgb-null-0,ks_complement,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0001651849452217635,0.0001487526446610553,5.700461654778929e-06,5.558008945536206e-07,0.00016462914432720986,0.3375,1.110467283443266,4.175101912696728e-06,-0.00016936004713446023,-2.710505431213761e-20
E1,electricity,10,hgb,null,0,E1-electricity-10-hgb-null-0,ks_complement,192,0.0,0.0,0.0,0.0,0.0,0.0,9.574290988763943e-05,8.62185778141666e-05,1.6822469611480704e-06,-1.3519679719645544e-06,9.7094877859604e-05,0.33124999999999993,1.110467283443266,-3.514107762057615e-06,-9.222880212558183e-05,1.3552527156068805e-20
