dataset,model,scenario,method,sev_idx,top5_instability_seed_mean
electricity,logreg,gradual,shap,1,0.10619999999999996
electricity,logreg,gradual,shap,2,0.14059999999999984
electricity,logreg,gradual,shap,3,0.15660000000000007
electricity,logreg,gradual,shap,4,0.16259999999999997
electricity,logreg,gradual,shap,5,0.16579999999999995
electricity,logreg,mean_shift,lime,1,0.02400000000000002
electricity,logreg,mean_shift,lime,2,0.03066666666666662
electricity,logreg,mean_shift,lime,3,0.09066666666666667
electricity,logreg,mean_shift,lime,4,0.10933333333333317
electricity,logreg,mean_shift,lime,5,0.1333333333333332
electricity,logreg,mean_shift,pi,1,0.0
electricity,logreg,mean_shift,pi,2,0.0
electricity,logreg,mean_shift,pi,3,0.0
electricity,logreg,mean_shift,pi,4,0.0
electricity,logreg,mean_shift,pi,5,0.0
electricity,logreg,mean_shift,shap,1,0.09260000000000002
electricity,logreg,mean_shift,shap,2,0.1362
electricity,logreg,mean_shift,shap,3,0.15759999999999985
electricity,logreg,mean_shift,shap,4,0.17080000000000006
electricity,logreg,mean_shift,shap,5,0.1681999999999999
electricity,logreg,missing,lime,1,0.0013333333333334085
electricity,logreg,missing,lime,2,0.016000000000000014
electricity,logreg,missing,lime,3,0.01866666666666661
electricity,logreg,missing,lime,4,0.009333333333333416
electricity,logreg,missing,lime,5,0.019999999999999907
electricity,logreg,missing,pi,1,0.08000000000000007
electricity,logreg,missing,pi,2,0.08000000000000007
electricity,logreg,missing,pi,3,0.040000000000000036
electricity,logreg,missing,pi,4,0.11999999999999988
electricity,logreg,missing,pi,5,0.08000000000000007
electricity,logreg,missing,shap,1,0.01760000000000006
electricity,logreg,missing,shap,2,0.030200000000000005
electricity,logreg,missing,shap,3,0.04179999999999995
electricity,logreg,missing,shap,4,0.04960000000000009
electricity,logreg,missing,shap,5,0.060800000000000076
electricity,logreg,noise,lime,1,0.008000000000000007
electricity,logreg,noise,lime,2,0.016000000000000014
electricity,logreg,noise,lime,3,0.04800000000000004
electricity,logreg,noise,lime,4,0.03733333333333333
electricity,logreg,noise,lime,5,0.06266666666666665
electricity,logreg,noise,pi,1,0.040000000000000036
electricity,logreg,noise,pi,2,0.08000000000000007
electricity,logreg,noise,pi,3,0.08000000000000007
electricity,logreg,noise,pi,4,0.11999999999999988
electricity,logreg,noise,pi,5,0.15999999999999992
electricity,logreg,noise,shap,1,0.043400000000000105
electricity,logreg,noise,shap,2,0.09460000000000002
electricity,logreg,noise,shap,3,0.12939999999999985
electricity,logreg,noise,shap,4,0.15859999999999985
electricity,logreg,noise,shap,5,0.17099999999999993
electricity,logreg,quantize,lime,1,0.002666666666666706
electricity,logreg,quantize,lime,2,0.009333333333333416
electricity,logreg,quantize,lime,3,0.002666666666666706
electricity,logreg,quantize,lime,4,0.01866666666666672
electricity,logreg,quantize,lime,5,0.03733333333333333
electricity,logreg,quantize,pi,1,0.0
electricity,logreg,quantize,pi,2,0.0
electricity,logreg,quantize,pi,3,0.0
electricity,logreg,quantize,pi,4,0.08000000000000007
electricity,logreg,quantize,pi,5,0.08000000000000007
electricity,logreg,quantize,shap,1,0.014600000000000057
electricity,logreg,quantize,shap,2,0.023199999999999887
electricity,logreg,quantize,shap,3,0.03160000000000007
electricity,logreg,quantize,shap,4,0.059800000000000075
electricity,logreg,quantize,shap,5,0.08279999999999998
electricity,rf,gradual,lime,1,0.11599999999999988
electricity,rf,gradual,lime,2,0.19866666666666644
electricity,rf,gradual,lime,3,0.23066666666666646
electricity,rf,gradual,lime,4,0.2679999999999998
electricity,rf,gradual,lime,5,0.2799999999999999
electricity,rf,gradual,pi,1,0.15999999999999992
electricity,rf,gradual,pi,2,0.28
electricity,rf,gradual,pi,3,0.36
electricity,rf,gradual,pi,4,0.32000000000000006
electricity,rf,gradual,pi,5,0.32000000000000006
electricity,rf,gradual,shap,1,0.15800000000000003
electricity,rf,gradual,shap,2,0.17259999999999986
electricity,rf,gradual,shap,3,0.18520000000000003
electricity,rf,gradual,shap,4,0.1894
electricity,rf,gradual,shap,5,0.19379999999999986
electricity,rf,mean_shift,lime,1,0.11599999999999999
electricity,rf,mean_shift,lime,2,0.18399999999999983
electricity,rf,mean_shift,lime,3,0.2586666666666665
electricity,rf,mean_shift,lime,4,0.2573333333333332
electricity,rf,mean_shift,lime,5,0.31733333333333325
electricity,rf,mean_shift,pi,1,0.15999999999999992
electricity,rf,mean_shift,pi,2,0.24
electricity,rf,mean_shift,pi,3,0.32000000000000006
electricity,rf,mean_shift,pi,4,0.36
electricity,rf,mean_shift,pi,5,0.4
electricity,rf,mean_shift,shap,1,0.1542
electricity,rf,mean_shift,shap,2,0.17259999999999986
electricity,rf,mean_shift,shap,3,0.1923999999999999
electricity,rf,mean_shift,shap,4,0.18159999999999987
electricity,rf,mean_shift,shap,5,0.17699999999999994
electricity,rf,missing,lime,1,0.039999999999999813
electricity,rf,missing,lime,2,0.06266666666666665
electricity,rf,missing,lime,3,0.08933333333333326
electricity,rf,missing,lime,4,0.10266666666666657
electricity,rf,missing,lime,5,0.1266666666666666
electricity,rf,missing,pi,1,0.08000000000000007
electricity,rf,missing,pi,2,0.08000000000000007
electricity,rf,missing,pi,3,0.08000000000000007
electricity,rf,missing,pi,4,0.15999999999999992
electricity,rf,missing,pi,5,0.19999999999999996
electricity,rf,missing,shap,1,0.054400000000000004
electricity,rf,missing,shap,2,0.09659999999999991
electricity,rf,missing,shap,3,0.13760000000000017
electricity,rf,missing,shap,4,0.16479999999999995
electricity,rf,missing,shap,5,0.19540000000000002
electricity,rf,noise,lime,1,0.06933333333333336
electricity,rf,noise,lime,2,0.11999999999999977
electricity,rf,noise,lime,3,0.18266666666666642
electricity,rf,noise,lime,4,0.22666666666666657
electricity,rf,noise,lime,5,0.2613333333333331
electricity,rf,noise,pi,1,0.15999999999999992
electricity,rf,noise,pi,2,0.19999999999999996
electricity,rf,noise,pi,3,0.15999999999999992
electricity,rf,noise,pi,4,0.24
electricity,rf,noise,pi,5,0.28
electricity,rf,noise,shap,1,0.1571999999999999
electricity,rf,noise,shap,2,0.18899999999999983
electricity,rf,noise,shap,3,0.2138
electricity,rf,noise,shap,4,0.22819999999999996
electricity,rf,noise,shap,5,0.2380000000000001
electricity,rf,quantize,lime,1,0.027999999999999914
electricity,rf,quantize,lime,2,0.029333333333333322
electricity,rf,quantize,lime,3,0.06933333333333314
electricity,rf,quantize,lime,4,0.11066666666666658
electricity,rf,quantize,lime,5,0.15733333333333321
electricity,rf,quantize,pi,1,0.11999999999999988
electricity,rf,quantize,pi,2,0.19999999999999996
electricity,rf,quantize,pi,3,0.15999999999999992
electricity,rf,quantize,pi,4,0.15999999999999992
electricity,rf,quantize,pi,5,0.24
electricity,rf,quantize,shap,1,0.11099999999999999
electricity,rf,quantize,shap,2,0.14800000000000002
electricity,rf,quantize,shap,3,0.1632
electricity,rf,quantize,shap,4,0.18680000000000008
electricity,rf,quantize,shap,5,0.28059999999999996
