dataset,model,scenario,method,monitor,explanation_first,first_alert
bank-marketing,rf,mean_shift,shap,feature_ks_alert,1,1
bank-marketing,rf,noise,shap,feature_ks_alert,2,1
bank-marketing,rf,missing,shap,feature_ks_alert,5,1
bank-marketing,rf,quantize,shap,feature_ks_alert,2,1
bank-marketing,rf,gradual,shap,feature_ks_alert,1,1
bank-marketing,hgb,mean_shift,shap,feature_ks_alert,1,1
bank-marketing,hgb,noise,shap,feature_ks_alert,1,1
bank-marketing,hgb,missing,shap,feature_ks_alert,2,1
bank-marketing,hgb,quantize,shap,feature_ks_alert,1,1
bank-marketing,hgb,gradual,shap,feature_ks_alert,1,1
electricity,logreg,mean_shift,shap,feature_ks_alert,2,1
electricity,logreg,noise,shap,feature_ks_alert,3,1
electricity,logreg,missing,shap,feature_ks_alert,6,1
electricity,logreg,quantize,shap,feature_ks_alert,6,1
electricity,logreg,gradual,shap,feature_ks_alert,1,1
electricity,rf,mean_shift,shap,feature_ks_alert,1,1
electricity,rf,noise,shap,feature_ks_alert,1,1
electricity,rf,missing,shap,feature_ks_alert,3,1
electricity,rf,quantize,shap,feature_ks_alert,1,1
electricity,rf,gradual,shap,feature_ks_alert,1,1
electricity,hgb,mean_shift,shap,feature_ks_alert,1,1
electricity,hgb,noise,shap,feature_ks_alert,1,1
electricity,hgb,missing,shap,feature_ks_alert,3,1
electricity,hgb,quantize,shap,feature_ks_alert,1,1
electricity,hgb,gradual,shap,feature_ks_alert,1,1
adult,logreg,mean_shift,shap,prediction_ks_alert,1,1
adult,logreg,noise,shap,prediction_ks_alert,2,3
adult,logreg,missing,shap,prediction_ks_alert,4,2
adult,logreg,quantize,shap,prediction_ks_alert,4,2
adult,logreg,gradual,shap,prediction_ks_alert,1,1
adult,rf,mean_shift,shap,prediction_ks_alert,2,1
adult,rf,noise,shap,prediction_ks_alert,3,2
adult,rf,missing,shap,prediction_ks_alert,4,2
adult,rf,quantize,shap,prediction_ks_alert,4,1
adult,rf,gradual,shap,prediction_ks_alert,1,1
adult,hgb,mean_shift,shap,prediction_ks_alert,1,1
adult,hgb,noise,shap,prediction_ks_alert,2,1
adult,hgb,missing,shap,prediction_ks_alert,3,2
adult,hgb,quantize,shap,prediction_ks_alert,1,1
adult,hgb,gradual,shap,prediction_ks_alert,1,1
bank-marketing,logreg,mean_shift,shap,prediction_ks_alert,6,1
bank-marketing,logreg,noise,shap,prediction_ks_alert,4,3
bank-marketing,logreg,missing,shap,prediction_ks_alert,6,2
bank-marketing,logreg,quantize,shap,prediction_ks_alert,5,4
bank-marketing,logreg,gradual,shap,prediction_ks_alert,6,1
bank-marketing,rf,mean_shift,shap,prediction_ks_alert,1,1
bank-marketing,rf,noise,shap,prediction_ks_alert,2,1
bank-marketing,rf,missing,shap,prediction_ks_alert,5,2
bank-marketing,rf,quantize,shap,prediction_ks_alert,2,1
bank-marketing,rf,gradual,shap,prediction_ks_alert,1,1
bank-marketing,hgb,mean_shift,shap,prediction_ks_alert,1,1
bank-marketing,hgb,noise,shap,prediction_ks_alert,1,1
bank-marketing,hgb,missing,shap,prediction_ks_alert,2,2
bank-marketing,hgb,quantize,shap,prediction_ks_alert,1,1
bank-marketing,hgb,gradual,shap,prediction_ks_alert,1,1
electricity,logreg,mean_shift,shap,prediction_ks_alert,2,1
electricity,logreg,noise,shap,prediction_ks_alert,3,2
electricity,logreg,missing,shap,prediction_ks_alert,6,1
electricity,logreg,quantize,shap,prediction_ks_alert,6,3
electricity,logreg,gradual,shap,prediction_ks_alert,1,1
electricity,rf,mean_shift,shap,prediction_ks_alert,1,1
electricity,rf,noise,shap,prediction_ks_alert,1,1
electricity,rf,missing,shap,prediction_ks_alert,3,1
electricity,rf,quantize,shap,prediction_ks_alert,1,1
electricity,rf,gradual,shap,prediction_ks_alert,1,1
electricity,hgb,mean_shift,shap,prediction_ks_alert,1,1
electricity,hgb,noise,shap,prediction_ks_alert,1,1
electricity,hgb,missing,shap,prediction_ks_alert,3,1
electricity,hgb,quantize,shap,prediction_ks_alert,1,1
electricity,hgb,gradual,shap,prediction_ks_alert,1,1
adult,logreg,mean_shift,pi,feature_ks_alert,6,1
adult,logreg,noise,pi,feature_ks_alert,4,1
adult,logreg,missing,pi,feature_ks_alert,3,1
adult,logreg,quantize,pi,feature_ks_alert,6,1
adult,logreg,gradual,pi,feature_ks_alert,3,1
adult,rf,mean_shift,pi,feature_ks_alert,2,1
adult,rf,noise,pi,feature_ks_alert,3,1
adult,rf,missing,pi,feature_ks_alert,2,1
adult,rf,quantize,pi,feature_ks_alert,5,1
adult,rf,gradual,pi,feature_ks_alert,2,1
adult,hgb,mean_shift,pi,feature_ks_alert,2,1
adult,hgb,noise,pi,feature_ks_alert,2,1
adult,hgb,missing,pi,feature_ks_alert,3,1
adult,hgb,quantize,pi,feature_ks_alert,5,1
adult,hgb,gradual,pi,feature_ks_alert,2,1
bank-marketing,logreg,mean_shift,pi,feature_ks_alert,6,1
bank-marketing,logreg,noise,pi,feature_ks_alert,6,1
bank-marketing,logreg,missing,pi,feature_ks_alert,6,1
bank-marketing,logreg,quantize,pi,feature_ks_alert,6,1
bank-marketing,logreg,gradual,pi,feature_ks_alert,6,1
bank-marketing,rf,mean_shift,pi,feature_ks_alert,1,1
