method,nmse_crn,nmse_independent,ratio
ks_complement,0.0007828103041454714,0.001542492101110314,0.5074971233771571
ks_iid,0.004580206453723963,0.010893131484272862,0.42046737986562555
leverage,0.00023685218458818156,0.0005128710354573879,0.46181626220508315
poly3,0.006993376962432564,0.008278098925794411,0.844804710009121
