record_type,scope,dataset,model,seed,method,method_estimand,predictor,explanation_endpoint,rho,correlation_status,estimate,ci_low_95,ci_high_95,n_conditions,n_seed_clusters,bootstrap_replicates,replicate_unit
block,within_dataset_model_seed,electricity,hgb,1.0,lime,local_attribution,accuracy_drop,cosine_instability,0.8799999999999999,ok,0.8799999999999999,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,hgb,2.0,lime,local_attribution,accuracy_drop,cosine_instability,0.9023076923076924,ok,0.9023076923076924,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,hgb,3.0,lime,local_attribution,accuracy_drop,cosine_instability,0.87,ok,0.87,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,hgb,4.0,lime,local_attribution,accuracy_drop,cosine_instability,0.8615384615384615,ok,0.8615384615384615,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,logreg,0.0,lime,local_attribution,accuracy_drop,cosine_instability,0.96,ok,0.96,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,logreg,1.0,lime,local_attribution,accuracy_drop,cosine_instability,0.9700000000000001,ok,0.9700000000000001,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,logreg,2.0,lime,local_attribution,accuracy_drop,cosine_instability,0.9661538461538461,ok,0.9661538461538461,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,logreg,3.0,lime,local_attribution,accuracy_drop,cosine_instability,0.9397961320220032,ok,0.9397961320220032,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,logreg,4.0,lime,local_attribution,accuracy_drop,cosine_instability,0.953076923076923,ok,0.953076923076923,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,rf,0.0,lime,local_attribution,accuracy_drop,cosine_instability,0.9228697997219752,ok,0.9228697997219752,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,rf,1.0,lime,local_attribution,accuracy_drop,cosine_instability,0.9146153846153846,ok,0.9146153846153846,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,rf,2.0,lime,local_attribution,accuracy_drop,cosine_instability,0.9292307692307692,ok,0.9292307692307692,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,rf,3.0,lime,local_attribution,accuracy_drop,cosine_instability,0.9138461538461539,ok,0.9138461538461539,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,rf,4.0,lime,local_attribution,accuracy_drop,cosine_instability,0.9261538461538461,ok,0.9261538461538461,,,25,1,0,single_seed_block
